"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover in Lacs","No. of Trades"
"TCS","EQ","23-Mar-2016","       2473.10","       2487.90","       2487.90","       2457.30","       2479.60","       2473.80","       2473.02","    1139217","      28173.12","      55908"
"TCS","EQ","28-Mar-2016","       2473.80","       2491.00","       2517.15","       2461.55","       2476.00","       2473.40","       2478.01","    1660441","      41145.83","      82490"
"TCS","EQ","29-Mar-2016","       2473.40","       2478.00","       2486.95","       2455.00","       2462.40","       2469.40","       2472.49","     919398","      22732.05","      32196"
"TCS","EQ","30-Mar-2016","       2469.40","       2470.90","       2505.00","       2460.00","       2490.00","       2489.50","       2490.18","    1068252","      26601.39","      66443"
"TCS","EQ","31-Mar-2016","       2489.50","       2478.30","       2550.00","       2472.15","       2530.00","       2520.30","       2510.45","    2181982","      54777.53","      76600"
"TCS","EQ","01-Apr-2016","       2520.30","       2505.00","       2520.85","       2434.10","       2458.00","       2453.90","       2467.96","    1520700","      37530.29","      86567"
"TCS","EQ","04-Apr-2016","       2453.90","       2456.00","       2488.00","       2447.00","       2476.40","       2471.25","       2462.56","     876176","      21576.34","      56839"
"TCS","EQ","05-Apr-2016","       2471.25","       2470.80","       2484.90","       2442.05","       2460.00","       2462.75","       2459.72","     745897","      18347.00","      39144"
"TCS","EQ","06-Apr-2016","       2462.75","       2470.00","       2489.00","       2459.35","       2481.00","       2481.90","       2477.67","     881575","      21842.55","      48213"
"TCS","EQ","07-Apr-2016","       2481.90","       2480.00","       2484.70","       2457.00","       2466.25","       2470.80","       2470.69","    1195471","      29536.40","      50556"
"TCS","EQ","08-Apr-2016","       2470.80","       2466.00","       2473.70","       2427.00","       2432.00","       2432.05","       2438.52","     699750","      17063.55","      51781"
"TCS","EQ","11-Apr-2016","       2432.05","       2433.00","       2517.00","       2413.00","       2506.05","       2506.65","       2456.71","    1200324","      29488.46","      56962"
